endpoint,path,target,round,requests,concurrency,duration_ms,rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,errors,statuses
recommend,/api/v1/feeds/recommend?page=1&pageSize=1,monolith,1,240,16,100.94,2377.54,6.53,5.56,10.26,47.88,52.69,0,"{""200"":240}"
recommend,/api/v1/feeds/recommend?page=1&pageSize=1,microservice-gateway,1,240,16,208.14,1153.05,13.65,13.12,21.36,29.77,29.83,0,"{""200"":240}"
search,/api/v1/search/all?keyword=PERF01%20shared%20published%20fixture&tab=video&page=1&pageSize=1,microservice-gateway,1,240,16,211.14,1136.69,13.89,13.28,19.2,20.92,39.78,0,"{""200"":240}"
search,/api/v1/search/all?keyword=PERF01%20shared%20published%20fixture&tab=video&page=1&pageSize=1,monolith,1,240,16,256.64,935.16,16.84,16.45,21.87,31.72,35.42,0,"{""200"":240}"
video-detail,/api/v1/videos/1,monolith,1,240,16,112.71,2129.27,7.24,6.88,10.59,12.54,13.09,0,"{""200"":240}"
video-detail,/api/v1/videos/1,microservice-gateway,1,240,16,462.58,518.83,30.44,22.53,58.68,67.47,86.88,0,"{""200"":240}"
search,/api/v1/search/all?keyword=PERF01%20shared%20published%20fixture&tab=video&page=1&pageSize=1,monolith,2,240,16,261.89,916.4,17.25,16.59,25.95,27.43,28.05,0,"{""200"":240}"
search,/api/v1/search/all?keyword=PERF01%20shared%20published%20fixture&tab=video&page=1&pageSize=1,microservice-gateway,2,240,16,174.76,1373.33,11.39,10.67,17.23,17.97,18.98,0,"{""200"":240}"
video-detail,/api/v1/videos/1,microservice-gateway,2,240,16,249.63,961.41,16.32,16.6,21.43,23.82,26.04,0,"{""200"":240}"
video-detail,/api/v1/videos/1,monolith,2,240,16,95.6,2510.44,6.27,6.01,8.69,10.42,10.64,0,"{""200"":240}"
recommend,/api/v1/feeds/recommend?page=1&pageSize=1,microservice-gateway,2,240,16,159.42,1505.41,10.38,9.88,15.66,18.3,18.93,0,"{""200"":240}"
recommend,/api/v1/feeds/recommend?page=1&pageSize=1,monolith,2,240,16,79.75,3009.32,5.18,5.17,6.75,7.74,7.83,0,"{""200"":240}"
video-detail,/api/v1/videos/1,monolith,3,240,16,103.41,2320.96,6.82,6.67,9.55,10.7,13.06,0,"{""200"":240}"
video-detail,/api/v1/videos/1,microservice-gateway,3,240,16,236.88,1013.16,15.42,14.83,23.52,25.64,26.51,0,"{""200"":240}"
recommend,/api/v1/feeds/recommend?page=1&pageSize=1,monolith,3,240,16,78.93,3040.78,5.14,5.14,6.38,7.23,8.66,0,"{""200"":240}"
recommend,/api/v1/feeds/recommend?page=1&pageSize=1,microservice-gateway,3,240,16,139.89,1715.61,9.21,8.98,11.99,12.94,15.02,0,"{""200"":240}"
search,/api/v1/search/all?keyword=PERF01%20shared%20published%20fixture&tab=video&page=1&pageSize=1,microservice-gateway,3,240,16,184.44,1301.26,12.08,11.42,21.09,24.63,26.22,0,"{""200"":240}"
search,/api/v1/search/all?keyword=PERF01%20shared%20published%20fixture&tab=video&page=1&pageSize=1,monolith,3,240,16,255.41,939.67,16.83,16.35,24.29,25.1,29.73,0,"{""200"":240}"
